timestamp,signal,confidence,status,price,sl,tp,atr,ema_fast,ema_slow,rsi,bb_upper,bb_lower,macd_hist,htf_trend,ml_win_proba
2026-06-17 13:52:43,SELL,1.0,NO_SIGNAL,4341.75,4346.70996,4331.83008,2.479979,4341.40336,4339.2801,58.19,4345.11313,4334.59887,9.85e-06,BUY,—
2026-06-17 13:53:42,SELL,1.0,NO_SIGNAL,4342.05,4346.8871,4332.37579,2.418552,4341.54581,4339.50791,59.23,4345.30386,4334.96314,-8.82e-06,BUY,—
2026-06-17 13:54:42,SELL,1.0,NO_SIGNAL,4340.15,4345.01017,4330.42967,2.430084,4341.32976,4339.55479,52.36,4344.96935,4335.82465,-5.549e-05,BUY,—
2026-06-17 13:55:42,SELL,1.0,NO_SIGNAL,4341.63,4346.4273,4332.0354,2.39865,4341.39158,4339.71674,56.65,4344.75007,4336.64993,-6.318e-05,BUY,—
2026-06-17 13:56:42,SELL,1.0,NO_SIGNAL,4340.92,4345.67494,4331.41012,2.37747,4341.41666,4339.85731,53.64,4344.83194,4336.87506,-7.404e-05,BUY,—
2026-06-17 13:57:42,SELL,1.0,NO_SIGNAL,4341.15,4345.7053,4332.0394,2.277651,4341.39646,4339.96404,54.34,4344.87515,4337.01385,-8.309e-05,BUY,—
2026-06-17 13:58:42,SELL,1.0,NO_SIGNAL,4341.58,4346.094,4332.55199,2.257002,4341.34789,4340.04327,55.39,4344.54077,4337.79923,-8.828e-05,BUY,—
2026-06-17 13:59:42,SELL,1.0,NO_SIGNAL,4341.19,4345.56402,4332.44195,2.187012,4341.31319,4340.12273,54.07,4344.29544,4338.39356,-9.143e-05,BUY,—
2026-06-17 14:00:42,SELL,0.3411,NO_SIGNAL,4338.29,4342.86323,4329.14355,2.286613,4340.67234,4339.89438,45.24,4344.06021,4338.61279,-0.00014529,—,—
2026-06-17 14:01:42,SELL,1.0,NO_SIGNAL,4339.89,4344.58994,4330.49013,2.349968,4340.54938,4339.89268,50.24,4344.07118,4338.58482,-0.00013848,BUY,—
2026-06-17 14:02:42,SELL,0.2902,NO_SIGNAL,4337.4,4342.04708,4328.10583,2.323541,4339.89433,4339.61819,42.88,4344.4322,4337.9288,-0.00017719,—,—
2026-06-17 14:03:42,SELL,1.0,NO_SIGNAL,4338.37,4343.22046,4328.66909,2.425228,4339.52834,4339.45646,46.92,4344.70128,4337.28672,-0.00017641,BUY,—
2026-06-17 14:04:42,SELL,1.0,NO_SIGNAL,4339.39,4344.35042,4329.46916,2.480211,4339.68409,4339.54481,49.7,4344.57022,4337.32878,-0.00013267,BUY,—
2026-06-17 14:05:42,SELL,1.0,NO_SIGNAL,4340.51,4345.43815,4330.65371,2.464074,4339.95435,4339.69175,52.69,4344.5083,4337.3987,-8.662e-05,BUY,—
2026-06-17 14:06:42,SELL,1.0,NO_SIGNAL,4343.81,4348.94614,4333.53773,2.568068,4340.49025,4339.96663,60.35,4344.81307,4337.26293,-1.987e-05,BUY,—
2026-06-17 14:07:42,SELL,1.0,NO_SIGNAL,4344.92,4350.10927,4334.54146,2.594635,4341.0585,4340.27388,62.67,4345.19622,4337.11778,3.472e-05,BUY,—
2026-06-17 14:08:42,SELL,1.0,NO_SIGNAL,4344.35,4349.38289,4334.28421,2.516447,4341.61175,4340.6005,60.36,4345.33312,4337.04188,6.845e-05,BUY,—
2026-06-17 14:09:42,SELL,1.0,NO_SIGNAL,4343.56,4348.53432,4333.61136,2.48716,4341.75657,4340.73811,57.81,4345.34881,4337.09419,5.96e-05,BUY,—
